,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
mu0,0.003154007532115144,0.005003758115587842,0.009394394776257808,0.010069149922796172,0.007955518200331135,0.006506471759696542,0.005052795441089608,0.004350996576223953,0.004449031395640124,0.004323795789481055,0.0041110617862876175,0.003259896924800998,0.002316050505255296,0.0018463062300788646,0.0018382006106352211,0.0013057656050438071,0.0005930297449724398,0.0003078308882723535,0.00012388881797331663,4.287068984476505e-05,3.8697819659816446e-07,4.512624119135111e-05,0.00024585231093110504,0.0004321425937134915,0.00041125159987387416,0.0005765321261692602,0.0007887307585798808,0.0007598239034477539,0.0008541233102442591,0.001187282964830616,0.0017231378316059365,0.0018025831207226783,0.00204019586286186,0.0021012667053498246,0.0021174856620316262,0.002290371859199225,0.002348623908815961,0.0026369070308852605,0.003108053456802984,0.003498166457060692,0.003734363848590605,0.003949999664674686,0.004228098427327631,0.004330689007737254,0.004489659456774042,0.004740483866111367,0.004854771202759789,0.005642023150944642,0.005539377016830271,0.005212407559038512,0.004741392581871007,0.004296134992640255,0.0046586743404362085,0.0045842033335284915,0.004431354615576755,0.004893550327138896,0.005010074695270705,0.004524173504185658,0.004449705178252827,0.003875624906859998,0.0029119245783914005,0.0023042052588586603,0.002120352339300302,0.0017717177910617776,0.0013104276279705118,0.0010599949247918072,0.0007333127364206327,0.0005056594898753541,0.0005149409841065378,0.00036910678270751784,0.00018317832259062694,6.467415384503461e-05,1.1955387699158493e-05,0.00019753274317146907,0.0004960955670745282,0.0008584614424385073,0.0018119102172392543,0.0020317351550868112,0.0029828668892383225,0.0041376523401402965,0.005222724476402818,0.006825739120846386,0.008227011497423331,0.008874567223531526,0.009887323136336779,0.010962940994647119,0.01161570663745315,0.01194685700601772,0.01041731095252818,0.006630916624435379,0.003219974829643757,0.0007587759380155434,0.00012158530741190887,0.00417479088347128,0.016734410484081863,0.04008076858771292,0.08146429396542798,0.1400394128086171,0.193037217844939,0.21095492006221428
sigma0,0.01278170241222365,0.01639948991238227,0.024491568284679466,0.028319111546876274,0.029094750953089332,0.0304009828131524,0.02764260949951114,0.027628798839774982,0.027073933534851546,0.026535467704021598,0.026404520119799102,0.027337190985941895,0.027652217372338805,0.027317445345443336,0.028850975413495017,0.029768575152908205,0.02770677998355142,0.02584199856146996,0.024010986891771502,0.02255205423123252,0.021893038593514214,0.019797022003393838,0.020064447475193203,0.02015542632130063,0.019401053512212107,0.020371624999246607,0.019617088253359616,0.021497836491364275,0.02078703996121123,0.020869706812943534,0.020219330299627303,0.020521187290677423,0.019415600005861622,0.01954064339148609,0.01903739045737396,0.018638362006744846,0.01889373269254735,0.017916501227301374,0.016451639572720778,0.01634520232911485,0.01633699944285949,0.015621995302460667,0.014725272183044869,0.014652796523742406,0.014504778143864638,0.013521273387222754,0.013402656108517652,0.012519624683281383,0.011963233555497554,0.011359119349063973,0.011299180875351644,0.011648220604627002,0.011229772297122742,0.01032143044137035,0.00998398811647816,0.009374873687168717,0.00924652111615687,0.009165977408004955,0.008518135749390199,0.009018113602764832,0.009600066143327757,0.009950716623572387,0.010182985421144153,0.01017665058531303,0.010055718349737619,0.00952120535164902,0.00903269864038947,0.008539984329385741,0.007932436081204863,0.006857049175926222,0.00598607399819906,0.006330552746097284,0.005871625751490472,0.004429350867747095,0.0036793194607217528,0.003334051612481015,0.0026916750467287365,0.0019939467925095267,0.0012592755299815073,0.0006144356605215506,1.6980787685860754e-05,0.0001962920622262665,0.000999805241285734,0.002368807472471368,0.003961857901821797,0.00712249478771021,0.011365679673745244,0.016388712396645855,0.024746897256205935,0.03763592585972719,0.05370043733605112,0.07471913901980543,0.10200488350305204,0.1293978129596438,0.1610335343652577,0.20743129179685205,0.2559549807676693,0.31020384294106573,0.351523619237749,0.3596301853091851
mu1,0.0009040916909681673,0.0019164017770416653,0.0011718202159402002,0.0013888813833228264,0.0023897274551957226,0.0036072999518454996,0.0047754463220185395,0.005849276655497171,0.0060549497642609085,0.005851507179629789,0.005886827213995249,0.00660779153928559,0.007492786956626363,0.007996446781057487,0.007846152232535819,0.008497289240637196,0.010497688202329991,0.011970848291583125,0.013901400539136244,0.015455029582396085,0.016807100462160718,0.018670870109511295,0.021135659687290698,0.022256854665002157,0.022773534940691342,0.02468602617233695,0.025051586595303044,0.024768893305818662,0.02490770064224135,0.026419741285280685,0.02741829793559436,0.027019063120753972,0.02791874917718218,0.02829211070125237,0.02838913088361028,0.028798772079678403,0.028841395206018805,0.02969005510381706,0.031144979184272947,0.03208026019673238,0.03237041885361003,0.03280519368682622,0.03322720748774122,0.033950693830188894,0.03404709853274235,0.034460551049279475,0.03406016769110343,0.0346975670555667,0.03435594608018799,0.03312433243263202,0.03190633195128656,0.030212718358789914,0.029985003009227462,0.02912821535267207,0.027627455890299357,0.027834514517406483,0.027122083633657756,0.02505593862191058,0.02380654069775434,0.021532633207327123,0.01810894809975494,0.015970026687420313,0.015079417961233688,0.013748209656663568,0.011477600963048729,0.00972726793595391,0.008235625362291499,0.007079223182126504,0.006649865520694909,0.005606024207443383,0.004584524428216108,0.0032871888697780793,0.00169888907348259,0.0007354295474063521,0.00017512846573186636,4.92435771715094e-06,0.00026426373445509466,0.000593380746233052,0.0015682913221319872,0.0030565594453021427,0.004290209096757591,0.0064115108376767704,0.008388923651031388,0.009736284650493143,0.011630968177827938,0.013229294990210638,0.01452218671476646,0.015610102612405807,0.013916166291077281,0.00973260958997857,0.006074806383795872,0.002886522339995312,0.0003420371803454225,0.0009197091487500586,0.008631725335269347,0.026801959666537534,0.05863193309672765,0.09926995272235284,0.13617187341416792,0.14867762216371094
sigma1,0.003937130655649046,0.005620412256663321,0.010050638956234259,0.011006516315960946,0.009410300536938032,0.008198335485861796,0.0063979654997246005,0.005438814738487396,0.005079464738654504,0.0046211346662953234,0.0045860030927022954,0.003716163359579361,0.002695178701305534,0.0021595750164946637,0.0022636049241030465,0.001813316192031067,0.0009896961154474138,0.000603513069227346,0.0002690953383208683,0.00011004226349820012,2.419654093566148e-05,1.2830657267426382e-05,9.627432885617182e-05,0.00020055992094580866,0.0002780086416880323,0.000456614858763027,0.0007360808424210497,0.0006987882539013501,0.0007855392101714376,0.0011922848223356874,0.0016778830090212749,0.0018084498232067148,0.002267937952052712,0.0025113451341608473,0.0027500842412988558,0.0031085553335079563,0.0030931212024445376,0.003464792629010227,0.004193065897343473,0.00470263846121588,0.004894197679885193,0.005261833919367409,0.005859302301819191,0.006208770993421875,0.006667658232178297,0.00740014798289268,0.007459712477555391,0.008548619514475386,0.008820463310676208,0.008797217052421424,0.008431862326877648,0.007903883248565502,0.008599795329319204,0.008835723741028256,0.008982830379531737,0.009779509884375592,0.010046721668891201,0.009531315241052218,0.009524280289354925,0.008625589976226422,0.007233587800274832,0.006295705872291113,0.006059689773221355,0.005702291165162077,0.0050224360918296185,0.004571770256945884,0.004080256576124763,0.0036568347559444714,0.0035871690875841633,0.003330279353827015,0.0029479028876086,0.002381122215590392,0.001543658873354281,0.001064029957210444,0.0007145984977382502,0.00040266284574996813,4.7068122201676665e-05,2.248935295323662e-05,3.0619140982679482e-06,9.901189487926398e-05,0.00015689108240224403,0.00033273354358631657,0.0005328343668596913,0.0005692196999458332,0.0006401829374758083,0.0005889505211033041,0.0004883894206449968,0.0004089076599472774,6.447724238134445e-05,0.0002513074538572635,0.0017542367449981944,0.005346638709449625,0.013139342716690372,0.027693217889785626,0.05220634927834833,0.09011822329186547,0.14665333810369752,0.21579911067320245,0.27250099493890945,0.2888307760665024
p00,0.0007540121471993899,0.0023690298224393613,0.00230070358194423,0.0023062922270462582,0.002001508766838467,0.0021679179353598643,0.002559327089054153,0.002294006169762941,0.0027559527152216656,0.0021613368186147452,0.0018103073720099339,0.002056202880493019,0.0020662857081141794,0.0019893587061567963,0.0016942643359367793,0.0017914288494574881,0.002346258454758887,0.0026189005803384235,0.0032326819325354528,0.0037436118948589447,0.004270323768578943,0.0047831158809398255,0.004361847179161105,0.0040218479621043635,0.004446198756704933,0.004430574742673943,0.0042981794136539575,0.004211395590720923,0.0043046067319566506,0.0046644073461444835,0.00500373383574737,0.00512037099091911,0.005399508077058468,0.005131098418507007,0.005083117251853286,0.005369645814901625,0.005058526911421279,0.005141027033304102,0.005420195544274531,0.005384169393648164,0.005137208420848638,0.005170494070086629,0.004902900474273553,0.004772627340440483,0.004819392396199662,0.004580229189575347,0.0038957529021412807,0.0037538636903154954,0.0034289173409521867,0.002989392026611859,0.0022887915621304655,0.001687910048507768,0.0013286139825341436,0.000987365006449914,0.0007756685540193375,0.0006150632125909716,0.0004119606456434166,0.00023524501311278367,0.00011606279328324476,4.128511930889811e-05,2.6003311062172685e-06,7.436488696943577e-06,1.7629695340470874e-05,5.73220505658556e-05,0.00021467053799562041,0.00043357960355205893,0.00047966358929607544,0.0005181409254385594,0.0006086883941943677,0.0006934097241473314,0.000669862010232336,0.0009193735963995975,0.0008482934646780738,0.0010971209385917113,0.0013860262638385468,0.0017513536864667278,0.0025964186994940075,0.0026590279294986807,0.0030013897986880256,0.003141396353977255,0.0024916992203998234,0.0022713911310654478,0.002195808449154013,0.0016104076149440205,0.00128419756536291,0.0007490893478070415,0.0002487061551461611,3.763570288828344e-05,4.7133522185771604e-05,0.0004124195211353543,0.0011421349927127622,0.0028707275360854156,0.006303896455633673,0.011272571434389755,0.017830526372671573,0.028219382779419377,0.04372970085280192,0.06364801234584982,0.07960894334700186,0.09613097617989574
p11,0.007855101327978842,0.014038734454739799,0.023846743095780276,0.02641410329164484,0.02450827390297916,0.023094135204492217,0.022134452156230888,0.02097799198853323,0.02262446529282003,0.022948029072480947,0.021921419179002144,0.02045103918228741,0.018325627729677718,0.017482053177169887,0.01735731100254012,0.01592471260983197,0.013540981507772054,0.011731698193211404,0.01003030263908955,0.00926000659700088,0.008548723918608503,0.007120883114865917,0.005832058362273074,0.004700859746369135,0.005087677544131641,0.004728542128891511,0.004219003743865857,0.004434748903834884,0.004143843297075844,0.0037840228238823492,0.0034013809113385696,0.0035597816748129674,0.0033479271151990453,0.0032998018653989103,0.0031307201446526545,0.002927757667753439,0.0026558618519857413,0.0022792182488459156,0.001887819716220429,0.0014796614262384544,0.0012243865475313198,0.0011659439698373797,0.0011245153750705228,0.0011932437913415583,0.0011522038785315436,0.0009252134080767194,0.0009002244028213369,0.0007266918950604717,0.0007288890171881501,0.0006039211610519013,0.0005516380392994735,0.0005736593396712397,0.0005217157667259942,0.0005193884654465242,0.0005299129617130083,0.0003283179699162808,0.000276060879700335,0.0004041767724359824,0.000336318276583647,0.0005071247517542954,0.0009533883937691279,0.0012939558449348576,0.001465011076111633,0.0017531496121988566,0.0020499761912426973,0.002157661251877774,0.002742118640315261,0.0033191677535285846,0.0032477346109207605,0.0033137353771567346,0.0038386093680532474,0.004187761699887438,0.005572979741715334,0.00650623713015086,0.007084543412238742,0.007995421580692885,0.009071022433609355,0.009296600159359292,0.010507654826061308,0.010964450477262577,0.011750874847021198,0.012747123924847559,0.012385250746054344,0.011823420950576202,0.010976076433909965,0.010378322742431112,0.009626356163732308,0.008729524380489573,0.006245342021948597,0.002576041145581076,0.00040362128673732123,0.00015541598344726015,0.0029002545410660163,0.011233941363113065,0.027339732899245295,0.05214645555231623,0.09004193740264821,0.14091561967157584,0.1874042894065484,0.19685993137702684
